SP,parametro,origen_correcto,asunto_fuente,prioridad,categoria
"pa_trabVariasEmpresasJerDif.sql,""Avisos_TMEMJ / Avisos_TMEMJC"",""Avisos_TMEMJ / Avisos_TMEMJC"",""hardcodeado: 'Avisos trabajadores en varias empresas...'"",""Alta"",""JERARQUIA"""
"pa_mismojefe1y2.sql,""Avisos_MisJef / Avisos_MisJefC"",""Avisos_MisJef / Avisos_MisJefC"",""hardcodeado"",""Alta"",""JERARQUIA"""
"pa_faltantecaja.sql,AL_Falt_Caja,AL_Falt_Caja,""hardcodeado"",""Alta"",""NOMINA"""
"pa_existemarcaje.sql,""CO_Marcaje / AL_Marcaje / ER_Marcaje"",""CO_Marcaje / AL_Marcaje / ER_Marcaje"",""descripcion en parametros"",""Baja"",""PRT - HORARIOS Y MARCACIONES"""
"pa_enviarDatosCCO.sql,""(ninguno)"",""(definir)"",""hardcodeado"",""Baja"",""PRT - HORARIOS Y MARCACIONES"""
"pa_enfermedadconsecutiva.sql,EnfDiaLib,EnfDiaLib,""descripcion en parametros"",""Baja"",""PRT - HORARIOS Y MARCACIONES"""
"pa_cuentas_duplicadas.sql,AL_DUPCTA,AL_DUPCTA,""descripcion en parametros"",""Baja"",""NOMINA"""
"pa_colaboradores_reingresos.sql,AlrClbRein,AlrClbRein,""descripcion en parametros"",""Alta"",""NOMINA"""
"pa_cargafamiliarimpuestoalarenta.sql,CARFAM_IR_MAIL,CARFAM_IR_MAIL,""descripcion en parametros"",""Media"",""CARGAS FAMILIARES"""
"pa_cambiosFechasBajasOLD.sql,""MAILAVICFCB / MAILAVICFB"",""MAILAVICFCB / MAILAVICFB"",""hardcodeado"",""Media"",""PRT - HORARIOS Y MARCACIONES"""
"pa_calculosHorarios.sql,AL_Calculo_Hor,AL_Calculo_Hor,""descripcion en parametros"",""Media"",""PRT - HORARIOS Y MARCACIONES"""
"pa_aniversario.sql,""(ninguno)"",""(definir)"",""hardcodeado"",""Baja"",""PRT - HORARIOS Y MARCACIONES"""
"pa_PersonalActualizadoNA.sql,AL_PerNomActAct,AL_PerNomActAct,""descripcion en parametros"",""Baja"",""PRT - HORARIOS Y MARCACIONES"""
"pa_notificacionBiometrico.sql,MAilBIOAP,MAilBIOAP,""descripcion en parametros"",""Media"",""BIOMETRICO"""
